"sample","p_value"
"wildtype",0.387647026530366
"C35P1",0.449165326899262
"C1P5",NA
"C32P1",0.47554186554244
"C29P2",0.0512294572511445
"C27P1",0.626227777259636
"C21P1",0.0435934693631602
"C20P1",8.56425165562693e-06
"C1p1",NA
"C36P1",2.03832187431687e-05
"C19P1",0.568557086704931
