GIZ39,1,2,3,4,5,6,7,8,9,10
wildtype,77,12,44,56,38,43,18,44,40,96
C2P1,49,25,20,6,24,0,0,31,6,14
C7P1,21,8,5,1,4,4,14,29,0,13
C10P1,4,1,1,2,5,3,3,4,2,3
C41P1,14,18,,,,,,,,
C14P1,55,43,22,51,33,36,42,45,19,27
