Construct,Plant,Meas_1_VPercent,Meas_2_VPercent,Meas_3_VPercent,Meas_4_VPercent,Meas_5_VPercent,Average_VPercent,Stdev_VPercent
C10,P1,45.73,33.92,34.42,30.64,,36.1775,6.585318899
C2,P1,70.42,90.6,54.29,,,71.77,18.19260564
C41,P1,51.31,90.42,,,,70.865,27.65494621
C44,P1,73.44,51.63,50.04,,,58.37,13.07519407
C47,P1,64.59,59.69,58.58,,,60.95333333,3.197973317
C7,P1,91.21,89.93,94.57,,,91.90333333,2.396441807
C?P1,,89.23,83.74,91.51,,,88.16,3.993982974
