AmphaSoft Measurement Report
SW Version: 2.1.6.0
Workspace: C:/_Iris_Amphasys/Maarten/02-06-GIZ32
Date/Time: vrijdag 06-jun-2025 15:25

Settings
Id;Sample Name;Buffer Id;Chip Id;Freq 1 [0.1-30MHz];Freq 2 [0.1-30MHz];Stop Cond Cells [0-10M];Stop Cond min [0-99];Stop Cond sec [0-59];Trig Level [0.0001-20V];Note;Done;Report;
S_1;C13P1;AF6;D01069;2;18;10000;1;0;0.05;A_1;1;1;
S_2;C13P1;AF6;D01069;2;18;10000;1;0;0.05;;1;1;
S_3;C13P1;AF6;D01069;2;18;10000;1;0;0.05;;1;1;
S_999;1;AF6;D01057;2;18;10000;1;0;0.05;A_1;0;1;

Results
Id;Sample Name;Date/Time;Duration[mm:ss];Concentration[cells/ml];MeanFlow[ul/min];MeasVol[ul];Accepted;Rejected[%];
S_1;C13P1;02-jun-2025 17:35:31;00:45;141938;99.3;75.7;10749; 4.3;
S_2;C13P1;02-jun-2025 17:37:37;00:31;129014;158.9;84.7;10924; 4.9;
S_3;C13P1;02-jun-2025 17:39:32;00:23;210051;134.5;53.7;11273; 4.4;

Gating Statistics
Cross Gating Freq 2
Id;Sample Name;UL-Count;UL[%];UL[cells/ml];UR-Count;UR[%];UR[cells/ml];LR-Count;LR[%];LR[cells/ml];LL-Count;LL[%];LL[cells/ml];
S_1;C13P1;7599;70.69;100343;1853;17.24;24468;35;0.33;462;1262;11.74;16664;
S_2;C13P1;7096;64.96;83804;2202;20.16;26005;48;0.44;566;1578;14.44;18636;
S_3;C13P1;8142;72.23;151711;1893;16.79;35272;39;0.35;726;1199;10.63;22341;
