 ,Angle,Length
1,28.576,32.409
2,20.875,20.394
3,-2.802,23.120
4,-13.557,23.422
5,2.663,20.854
6,38.741,17.805
7,39.987,19.601
8,48.240,18.185
9,59.036,19.774
10,95.856,18.993
11,79.380,15.772
12,83.157,24.396
13,-114.677,19.726
14,83.480,17.066
15,115.463,22.536
16,87.455,21.822
17,-105.154,24.091
18,-95.080,21.886
19,-101.889,18.813
20,-92.936,18.918
21,-78.111,18.813
22,-102.095,20.809
23,-91.591,17.447
24,-92.663,20.854
25,-87.663,23.758
26,-93.180,17.467
27,-94.086,20.399
28,-92.603,21.338
29,-90.000,20.347
30,-92.663,20.854
31,-92.793,19.886
32,-92.726,20.370
33,-94.514,18.466
34,-92.490,22.306
35,-90.000,21.800
36,-90.000,21.800
37,-93.013,18.435
38,-87.663,23.758
39,-101.310,19.762
40,-103.707,20.445
41,-107.103,19.768
42,-54.462,20.837
43,-111.161,16.104
44,-121.759,11.965
45,-132.274,21.606
46,18.435,21.447
47,-160.115,24.213
48,-107.281,22.831
49,-153.435,19.499
50,-111.194,25.460
51,-91.507,18.415
52,-119.055,19.951
